FD_ID;YLD_ID;YLD_AMT;CF_DT_ENT
626.00000;686.00000;31.96600;01.05.1997
627.00000;686.00000;31.96600;01.05.1997
627.00000;1642.00000;52.91000;30.10.2006
628.00000;686.00000;20.94400;01.05.1997
628.00000;1642.00000;35.27300;30.10.2006
629.00000;686.00000;23.14800;01.05.1997
629.00000;1642.00000;35.27300;30.10.2006
630.00000;686.00000;26.45500;01.05.1997
630.00000;1642.00000;42.32800;01.11.2006
631.00000;686.00000;18.73900;01.05.1997
632.00000;686.00000;13.22800;01.05.1997
632.00000;1643.00000;28.21900;30.10.2006
633.00000;686.00000;14.33000;01.05.1997
633.00000;1642.00000;28.21900;30.10.2006
634.00000;686.00000;15.43200;01.05.1997
634.00000;1642.00000;28.21900;30.10.2006
635.00000;465.00000;15.09000;01.05.1997
635.00000;682.00000;74.54700;31.10.2006
636.00000;664.00000;1072.00000;01.05.1997
636.00000;682.00000;70.54700;31.10.2006
636.00000;686.00000;259.03900;01.05.1997
637.00000;686.00000;322.97200;01.05.1997
638.00000;682.00000;70.54700;31.10.2006
638.00000;686.00000;231.48100;01.05.1997
639.00000;686.00000;230.37900;01.05.1997
640.00000;682.00000;77.60100;30.10.2006
640.00000;686.00000;188.49200;01.05.1997
641.00000;465.00000;1.13000;01.05.1997
641.00000;686.00000;27.55700;01.05.1997
642.00000;686.00000;16.53400;01.05.1997
643.00000;686.00000;105.82000;01.05.1997
644.00000;682.00000;77.60100;30.10.2006
644.00000;686.00000;85.97900;01.05.1997
645.00000;463.00000;9.05000;01.05.1997
646.00000;666.00000;593.00000;01.05.1997
646.00000;682.00000;74.07000;01.11.2006
646.00000;686.00000;222.66300;01.05.1997
647.00000;686.00000;298.72100;01.05.1997
648.00000;682.00000;74.07000;01.11.2006
648.00000;686.00000;196.20800;01.05.1997
649.00000;686.00000;213.84500;01.05.1997
650.00000;463.00000;0.81000;01.05.1997
650.00000;686.00000;30.86400;01.05.1997
651.00000;666.00000;50.00000;01.05.1997
652.00000;686.00000;98.10400;01.05.1997
653.00000;682.00000;77.60100;30.10.2006
653.00000;686.00000;70.54700;01.05.1997
654.00000;686.00000;115.74100;01.05.1997
655.00000;682.00000;77.60100;30.10.2006
655.00000;686.00000;80.46700;01.05.1997
657.00000;682.00000;70.54700;31.10.2006
657.00000;686.00000;240.30000;01.05.1997
658.00000;686.00000;327.38100;01.05.1997
659.00000;682.00000;70.54700;31.10.2006
