MSR_ID;MSR_NME;MSR_NMF
349.00000;100ml drained;100ml égoutté
350.00000;100ml elbows;100ml coudes
351.00000;100ml flaked;100ml flocons
352.00000;100ml giblets;100ml abattis
353.00000;100ml grated;100ml râpé
354.00000;100ml halves;100ml moitiés
355.00000;100ml large curd;100ml gros caillé
357.00000;100ml mashed;100ml en purée
358.00000;100ml melted;100ml fondu
359.00000;100ml mini;100ml mini
360.00000;100ml nuts;100ml noix
361.00000;100ml nuts (40);100ml noix (40)
362.00000;100ml packed;100ml pressés
363.00000;100ml pieces;100ml morceaux
364.00000;100ml pitted;100ml dénoyauté
365.00000;100ml poured;100ml versé
366.00000;100ml pulp;100ml pulpe
367.00000;100ml puree;100ml purée
368.00000;100ml shredded;100ml filamenté
369.00000;100ml shredded, packed;100ml filamenté, pressé
370.00000;100ml sifted;100ml tamisé
371.00000;100ml slices;100ml tranches
374.00000;100ml stirred;100ml mélangé
376.00000;100ml unpacked;100ml non pressé
377.00000;100ml unsifted;100ml non tamisé
378.00000;100ml whipped;100ml fouetté
379.00000;100ml whole;100ml entier
382.00000;12 biscuits;12 biscuits
383.00000;125ml;125ml
384.00000;15 kernels;15 graines
385.00000;15ml;15ml
386.00000;15ml bits;15ml miettes
387.00000;15ml chopped;15ml haché
388.00000;150ml;150ml
389.00000;175ml;175ml
394.00000;2 biscuits;2 biscuits
395.00000;2 burritos;2 burritos
396.00000;2 eggs;2 oeufs
398.00000;2 heaping teaspoons;2 cuillères à thé comble
399.00000;2 muffets;2 muffets
400.00000;2 per package;2 par paquet
402.00000;2 pieces;2 morceaux
403.00000;2 slices;2 tranches
404.00000;2 small;2 petits
405.00000;2 tablespoons;2 cuillères à table
408.00000;2oz cocktail;cocktail 2oz
410.00000;2.5oz cocktail;2.5 oz cocktail
411.00000;20 medium nuts;20  noix moyennes
412.00000;20 pieces;20 morceaux
413.00000;200ml;200ml
414.00000;225ml;225ml
415.00000;250ml;250ml
418.00000;250ml water + powder;250ml eau + poudre
419.00000;275ml;275ml
427.00000;3-4 heaping teaspoons;3-4 cuillères à thé comble
428.00000;30ml;30ml
429.00000;300ml;300ml
430.00000;375ml;375ml
431.00000;4 spears;4 tiges et fleurs
434.00000;4.5oz cocktail;cocktail 4.5oz
435.00000;5 hushpuppies;5 hush puppies
436.00000;5 leaves;5 feuilles
437.00000;5 slices;5 tranches
438.00000;5 sticks;5 bâtonnets
439.00000;5ml;5ml
440.00000;5ml chopped;5ml haché
443.00000;6 medium;6 moyennes
444.00000;6 oysters;6 huîtres
445.00000;6 pieces;6 morceaux
446.00000;6 scallops;6 pétoncles
447.00000;15-20 nachos;15-20 nachos
448.00000;6-8 shrimps;6-8 crevettes
451.00000;8 crayfish;8 écrevisses
452.00000;8-14 seeds;8-14 graines
453.00000;8-9 rings;8-9 rondelles
454.00000;dough for 1;pâte pour 1
456.00000;1 (0.8cm x 7.6cm dia) + liquid;1 (0.8cm x 7.6cm dia) + liquide
471.00000;1 bottle (341ml);1 bouteille (341ml)
473.00000;1 bean;1 fève
474.00000;1 bird;1 oiseau
477.00000;1 breast;1 poitrine
478.00000;1 cherry;1 cerise
479.00000;1 cherry tomato;1 tomate cerise
480.00000;1 chip;1 croustille
481.00000;1 clam;1 mye
482.00000;1 clove;1 gousse
484.00000;1 container (355ml);1 contenant (355ml)
486.00000;1 cookie (1.9cm x 4.4cm dia);1 biscuit (1.9cm x 4.4cm dia)
488.00000;1 cookie (4.4cm dia);1 biscuit (4.4cm dia)
489.00000;1 cookie (5.7cm x 3.8cm);1 biscuit (5.7cm x 3.8cm)
490.00000;1 cookie (6.3cm x 1.9cm x 0.6cm);1 biscuit (6.3cm x 1.9cm x 0.6cm)
491.00000;1 cookie (6.3cm x 6.3cm);1 biscuit (6.3cm x 6.3cm)
492.00000;1 corm (6.7cm dia);1 bulbe (6.7 cm dia)
493.00000;1 cracker (4.8cm dia);1 craquelin (4.8cm dia)
494.00000;1 cube (5.9g);1 cube (5.9g)
495.00000;1 doughnut (8.3cm dia);1 beigne (8.3cm dia)
496.00000;1 eclair shell (12.7cm x 5cm x 4.5cm);1 coquille d'éclair (12.7cm x 5cm x 4.5cm)
