MSR_ID;MSR_NME;MSR_NMF
160.00000;1 medium;1 moyen
161.00000;1 medium fruit (5.4 cm dia);1 fruit moyen (5.4 cm dia)
162.00000;1 medium patty;1 moyenne boulette
163.00000;1 medium slice;1 moyenne tranche
164.00000;1 muffin;1 muffin
167.00000;1 muffin (5.1 cm x 7 cm dia);1 muffin (5.1 cm x 7 cm dia)
171.00000;1 mushroom;1 champignon
172.00000;1 neck;1 cou
174.00000;1 package;1 paquet
175.00000;1 pancake (15.2 cm dia);1 crêpe (15.2 cm dia)
176.00000;1 pancake (8 cm dia);1 crêpe (8 cm dia)
177.00000;1 parsnip (16.5 cm x 2.5 cm dia);1 panais (16.5 cm x 2.5 cm dia)
178.00000;1 pastry;1 pâtisserie
179.00000;1 pastry (12 cm dia);1 pâtisserie (12 cm dia)
180.00000;1 pastry (16.5 cm x 1.9 cm);1 pâtisserie (16.5 cm x 1.9 cm)
181.00000;1 pastry (7.5 cm dia);1 pâtisserie (7.5 cm dia)
182.00000;1 pat;1 plaquette de beurre
183.00000;1 patty;1 boulette
184.00000;1 patty (5.7 cm dia);1 boulette (5.7 cm dia)
185.00000;1 pepper;1 piment
186.00000;1 pepper (9.5 cm x 7.6 cm dia);1 poivron (9.5 cm x 7.6 cm dia)
190.00000;1 pickle (9.5 cm long);1 cornichon (9.5 cm longe)
191.00000;1 pie;1 tarte
192.00000;1 pie (12.7 cm x 9.5 cm);1 tourte (12.7 cm x 9.5 cm)
193.00000;1 pie (20 cm dia);1 tarte (20 cm dia)
194.00000;1 pie (23 cm dia)];1 tarte (23 cm dia)
195.00000;1 pie, ready to serve;1 chausson
196.00000;1 piece;1 morceau
197.00000;1 piece (10 cm x 5 cm x 1.3 cm);1 morceau (10 cm x 5 cm x 1.3 cm)
199.00000;1 piece (11 cm x 5 cm x 2 cm);1 morceau (11 cm x 5 cm x 2 cm)
200.00000;1 piece (11 cm x 6 cm x 2 cm);1 morceau (11 cm x 6 cm x 2 cm)
201.00000;1 piece (12 cm x 5 cm x 2 cm);1 morceau (12 cm 5 cm x 2 cm)
202.00000;1 piece (14 cm x 4 cm x 1 cm);1 morceau (14 cm x 4 cm x 1 cm)
203.00000;1 piece (2.5 cm x 25 cm dia);1 morceau (2.5 cm x 25 cm dia)
205.00000;1 piece (4.5 cm x 4 cm x 4 cm);1 morceau (4.5 cm x 4 cm x 4 cm)
206.00000;1 piece (5 cm x 3 cm x 1.2 cm);1 morceau (5 cm x 3 cm x 1.2 cm)
